word;weight;number_of_words
kekakuan;-2;1
kekanak-kanakan;-3;1
kekasih;5;1
kekayaan;3;1
kekecewaan;-4;1
kekejaman;-4;1
kekeliruan;-3;1
kekerasan;-3;1
kekeringan;-4;1
kekhawatiran;-3;1
kekosongan;-2;1
kekuatan;3;1
kekurangan;-3;1
kelalaian;-4;1
kelambanan;-4;1
kelangkaan;-2;1
kelaparan;-4;1
kelebihan;3;1
keledai;-2;1
kelelahan;-2;1
kelemahan;-3;1
keletihan;-1;1
keliru;-3;1
keluar;-3;1
kelumpuhan;-4;1
kemacetan;-4;1
kemahalan;-4;1
kemakmuran;5;1
kemalangan;-4;1
kemalasan;-4;1
kemarahan;-4;1
kematian;-3;1
kembali;-1;1
kemenangan;4;1
kemerosotan;-4;1
kemiskinan;-3;1
kemudahan;3;1
kemuliaan;4;1
kemunafikan;-5;1
kemunduran;-4;1
kemurkaan;-4;1
kenakalan;-4;1
kencing;-3;1
kendala;-4;1
kenyamanan;4;1
kepalsuan;-4;1
keparahan;-4;1
keparat;-5;1
kepercayaan;4;1
kepo;-3;1
kepuasan;4;1
kepura-puraan;-4;1
kerahasiaan;-1;1
keramahan;4;1
keras;-3;1
kere;-5;1
keren;4;1
keren-keren;4;1
kerennya;4;1
kerepotan;-3;1
keributan;-3;1
kerikil;-1;1
kerinduan;3;1
keriuhan;-2;1
kerugian;-4;1
keruh;-4;1
kerumitan;-3;1
kerusakan;-4;1
kerusuhan;-4;1
kerut;-2;1
kesakitan;-2;1
kesalahan;-3;1
kesan;3;1
kesanggupan;3;1
kesannya;-3;1
kesedihan;-2;1
kesejukan;3;1
keseleo;-2;1
kesembronoan;-3;1
keserakahan;-5;1
keseriusan;4;1
keseruan;3;1
kesetiaan;4;1
kesia-siaan;-4;1
kesiapan;3;1
kesombongan;-5;1
kesukaan;3;1
kesukaran;-3;1
kesuksesan;4;1
kesulitan;-3;1
kesuraman;-3;1
kesusahan;-4;1
ketakutan;-4;1
ketangguhan;4;1
ketat;-2;1
ketegangan;-3;1
ketenaran;2;1
keterbatasan;-3;1
keterbelakangan;-4;1
keterbukaan;4;1
keterlaluan;-3;1
keterlibatan;-2;1
ketidakbenaran;-4;1
ketidakjujuran;-4;1
ketidakjujuranmu;-4;1
ketidakmampuan;-3;1
ketidaknyamanan;-3;1
ketidakpedulian;-4;1
ketidakpercayaan;-4;1
ketidakpuasan;-3;1
ketidaksamaan;-2;1
ketidaksenangan;-3;1
ketidakstabilan;-4;1
ketidaktaatan;-4;1
ketidaktelitian;-4;1
ketidaktepatan;-4;1
ketidaktertarikan;-3;1
keunggulan;4;1
kewajiban;2;1
kezaliman;-4;1
khas;4;1
khusus;-1;1
khusyuk;4;1
kikir;-4;1
kikuk;-2;1
klik;1;1
kloningan;-2;1
knalpot;-1;1
koar;-4;1
koar-koar;-4;1
kocok;-1;1
kok;-2;1
kokoh;4;1
kolusi;-4;1
kombatan;-3;1
komedi;4;1
komit;4;1
kompak;3;1
kompatible;4;1
komplikasi;-4;1
konflik;-4;1
konsisten;4;1
konspirasi;-4;1
konspirator;-4;1
konsumtif;-4;1
kontaminan;-3;1
kontroversi;-4;1
konyol;-4;1
korban;-3;1
korosi;-2;1
korosif;-2;1
korup;-4;1
korupsi;-4;1
kotor;-3;1
kotoran;-4;1
kram;-2;1
kreatif;4;1
kresek;-1;1
krisis;-3;1
kritik;-1;1
kritikan;-2;1
kritikus;-1;1
kritis;4;1
kronis;-4;1
kuat;4;1
kuburan;-2;1
kukira;-3;1
kuman;-3;1
kuno;-1;1
kurang;-2;1
kurangi;-1;1
kurungan;-3;1
kurus;-3;1
kusam;-3;1
kutukan;-4;1
kuyu;-3;1
kw;-4;1
laba;3;1
labil;-4;1
laku;3;1
lalai;-3;1
lama;-2;1
lamban;-2;1
lambat;-3;1
lampiran;1;1
langka;4;1
laporkan;-2;1
lawan;-2;1
layak;4;1
layu;-3;1
ledakan;-3;1
lega;4;1
lelah;-2;1
lelucon;-2;1
lemah;-3;1
lemak;-3;1
lemas;-3;1
lembut;4;1
lendir;-3;1
lenyap;-3;1
letih;-2;1
lezat;4;1
liar;-3;1
licik;-4;1
likuidasi;-1;1
limbah;-4;1
linglung;-4;1
lintas;-1;1
lipsync;-4;1
logis;4;1
lokalan;-2;1
lucu;4;1
luka;-3;1
lumayan;2;1
lumpuh;-3;1
lumrah;-2;1
lusuh;-3;1
mabuk;-5;1
mahal;-3;1
maju;4;1
maki-maki;-4;1
makmur;4;1
maksa;-4;1
malaikat;4;1
malang;-3;1
malapetaka;-4;1
malas;-4;1
malu;-3;1
malu-maluin;-4;1
mampu;4;1
mana;-4;1
manfaat;4;1
mangkal;-3;1
maniak;-4;1
manipulasi;-3;1
manis;4;1
manisnya;4;1
manja;-2;1
mantab;4;1
mantap;4;1
manusiawi;3;1
marah;-4;1
marjinal;-3;1
martir;-3;1
masalah;-4;1
masochis;-3;1
mati;-3;1
megah;1;1
melalaikan;-3;1
melanda;-3;1
melanggar;-4;1
melankolis;-2;1
melarang;-3;1
melawan;1;1
melecehkan;-4;1
meledak;-4;1
melelahkan;-3;1
melemahkan;-3;1
melempem;-3;1
melengking;-1;1
melengserkan;-4;1
melenyapkan;-4;1
melepaskan;-1;1
melepuh;-2;1
meleset;-3;1
melet;-4;1
melibatkan;-1;1
melikuidasi;-2;1
melilit;-3;1
melimpah;3;1
melimpahi;2;1
melodramatis;-3;1
melucu;2;1
melucuti;-2;1
melukai;-4;1
melulu;-3;1
melumpuhkan;-4;1
melumuri;-1;1
meluncur;1;1
memaafkan;4;1
memabukkan;-4;1
memadai;3;1
memadamkan;3;1
memainkan;3;1
memaksa;-4;1
memaksakan;-4;1
memalukan;-4;1
memanjakan;-3;1
memar;-3;1
memarahi;-4;1
memasang;1;1
mematikan;-2;1
membahayakan;-4;1
membajak;-3;1
membakar;-4;1
membalas;-2;1
membanding-bandingkan;-3;1
membandingkan;-3;1
membandingkannya;-3;1
membanggakan;4;1
membanjiri;-3;1
membantah;-3;1
membanting;-3;1
membantu;4;1
membasmi;-3;1
membatalkan;-3;1
membatasi;-3;1
membenci;-4;1
membengkokkan;-3;1
membentak;-4;1
memberhentikan;-2;1
memberikan;3;1
memberkati;3;1
membingungkan;-3;1
membisingkan;-3;1
membongkar;-2;1
membosankan;-3;1
membual;-4;1
membuang;-3;1
membuktikan;2;1
membully;-4;1
membunuh;-4;1
membusuk;-4;1
membutuhkan;2;1
memecah;-4;1
memecahkan;-2;1
memek;-4;1
memekik;-2;1
memeluk;4;1
memenangkan;4;1
memenjarakan;-4;1
memfitnah;-4;1
memikat;4;1
meminta-minta;-4;1
memisahkan;-3;1
memohon;-2;1
memperbudak;-4;1
memperingati;4;1
memperingatkan;3;1
memperkosa;-5;1
memperkuat;4;1
memperlambat;-3;1
mempermalukan;-4;1
mempermasalahkan;-3;1
mempersulit;-4;1
mempopulerkan;3;1
memprovokasi;-4;1
memuaskan;3;1
memudar;-3;1
memuja;-2;1
memukau;4;1
memukul;-4;1
memuliakan;3;1
memuntahkan;-3;1
memusnahkan;-4;1
memutuskan;-2;1
menafikan;-3;1
menahan;2;1
menajiskan;-3;1
menakjubkan;4;1
menaklukkan;-2;1
menakut-nakuti;-4;1
menakuti;-3;1
menakutkan;-4;1
menampar;-4;1
menang;4;1
menangguhkan;-2;1
menangis;-3;1
menangkal;2;1
menangkap;2;1
menantang;-3;1
menarik;1;1
mencabut;-2;1
mencaci;-4;1
mencampuri;-3;1
mencapai;3;1
mencatut;-3;1
mencekek;-4;1
mencekik;-4;1
mencela;-4;1
mencemari;-4;1
mencemarkan;-4;1
mencemooh;-4;1
mencibir;-5;1
mencintai;5;1
mencium;3;1
mencolok;-2;1
mencubit;-3;1
menculik;-4;1
mencuri;-4;1
mendambakan;3;1
mendengkur;-2;1
mendera;-2;1
menderita;-4;1
mendikte;-3;1
mendiskreditkan;-3;1
mendistorsi;-3;1
mendominasi;-2;1
mendorong;3;1
menduga;-2;1
mendukung;4;1
mendunia;5;1
mendustakan;-4;1
menegakkan;4;1
menegang;-2;1
meneguk;-1;1
menegur;2;1
menekan;-3;1
menelan;-1;1
meneliti;3;1
menembak;-1;1
menentang;-3;1
menentramkan;4;1
menertawakan;-2;1
menetap;1;1
menetralisir;4;1
mengabaikan;-3;1
mengacaukan;-4;1
mengagetkan;-3;1
mengagumkan;4;1
mengajak;4;1
mengalah;4;1
mengalahkan;1;1
mengalihkan;-3;1
mengalir;4;1
mengamputasi;-3;1
mengamuk;-4;1
mengancam;-4;1
menganggur;-4;1
menganiaya;-4;1
mengasihimu;4;1
mengatai;-4;1
mengawur;-4;1
mengayunkan;-1;1
mengecam;-3;1
mengecewakan;-4;1
mengecualikan;-3;1
mengejar;-1;1
mengejek;-4;1
mengejutkan;-1;1
mengeksekusi;-1;1
mengekspos;-1;1
mengelabui;-4;1
mengeluh;-4;1
mengemis;-4;1
mengenakan;3;1
mengepung;-1;1
mengerang;-1;1
mengerikan;-4;1
mengeruk;-3;1
mengerut;-2;1
menggagalkan;-1;1
menggairahkan;1;1
menggambarkan;1;1
mengganggu;-3;1
menggantung;-3;1
menggelapkan;-4;1
menggelegar;4;1
menggelepar;-3;1
menggeliat;-2;1
menggelikan;-2;1
menggemari;-3;1
menggemaskan;3;1
menggembirakan;4;1
menggemparkan;-2;1
menggenangi;-2;1
menggeram;-2;1
menggerutu;-3;1
menggigil;-2;1
menggila;-3;1
menggoda;-3;1
menggulingkan;-3;1
menggumpalkan;-1;1
mengguncang;-2;1
menggusur;-3;1
menghadapi;1;1
menghakimi;-4;1
menghalangi;-2;1
menghalau;-2;1
menghambat;-3;1
menghambur-hamburkan;-4;1
menghancurkan;-4;1
menghantam;-4;1
menghantui;-3;1
menghapuskan;-4;1
menghargai;5;1
mengharukan;3;1
menghiasi;4;1
menghibur;4;1
menghidupkan;4;1
menghilangkan;-3;1
menghina;-4;1
menghindari;-1;1
menghisap;-2;1
menghormati;4;1
menghujat;-5;1
menghukum;-2;1
mengigil;-2;1
mengikis;-1;1
mengilhami;4;1
menginfeksi;-3;1
